S.No,Weekend Dates,Month,Team Member,Availability,Remarks
1,16-May-2026 / 17-May-2026,May 2026,,,
2,23-May-2026 / 24-May-2026,May 2026,,,
3,30-May-2026 / 31-May-2026,May 2026,,,
4,06-Jun-2026 / 07-Jun-2026,June 2026,,,
5,13-Jun-2026 / 14-Jun-2026,June 2026,,,
6,20-Jun-2026 / 21-Jun-2026,June 2026,,,
7,27-Jun-2026 / 28-Jun-2026,June 2026,,,
8,04-Jul-2026 / 05-Jul-2026,July 2026,,,
9,11-Jul-2026 / 12-Jul-2026,July 2026,,,
10,18-Jul-2026 / 19-Jul-2026,July 2026,,,
11,25-Jul-2026 / 26-Jul-2026,July 2026,,,
12,01-Aug-2026 / 02-Aug-2026,August 2026,,,
13,08-Aug-2026 / 09-Aug-2026,August 2026,,,
14,15-Aug-2026 / 16-Aug-2026,August 2026,,,
15,22-Aug-2026 / 23-Aug-2026,August 2026,,,
16,29-Aug-2026 / 30-Aug-2026,August 2026,,,
17,05-Sep-2026 / 06-Sep-2026,September 2026,,,
18,12-Sep-2026 / 13-Sep-2026,September 2026,,,
19,19-Sep-2026 / 20-Sep-2026,September 2026,,,
20,26-Sep-2026 / 27-Sep-2026,September 2026,,,
21,03-Oct-2026 / 04-Oct-2026,October 2026,,,
22,10-Oct-2026 / 11-Oct-2026,October 2026,,,
23,17-Oct-2026 / 18-Oct-2026,October 2026,,,
24,24-Oct-2026 / 25-Oct-2026,October 2026,,,
25,31-Oct-2026 / 01-Nov-2026,October 2026,,,
26,07-Nov-2026 / 08-Nov-2026,November 2026,,,
27,14-Nov-2026 / 15-Nov-2026,November 2026,,,
28,21-Nov-2026 / 22-Nov-2026,November 2026,,,
29,28-Nov-2026 / 29-Nov-2026,November 2026,,,
30,05-Dec-2026 / 06-Dec-2026,December 2026,,,
31,12-Dec-2026 / 13-Dec-2026,December 2026,,,
32,19-Dec-2026 / 20-Dec-2026,December 2026,,,
33,26-Dec-2026 / 27-Dec-2026,December 2026,,,
